equipment_id,serial_number,equipment_desc,eq_length,eq_width,eq_height,eq_weight,dancefloor_restricted,dims_found,dims_missing
7172,,NXS TB Stack2,64.0,36.0,60.0,,0.0,True,False
7175,,Champ Parts Cart,72.0,37.0,101.0,0,0.0,True,False
7180,915990,27 NOR pit,124.0,54.0,92.0,0,0.0,True,False
7181,21022615,51 Big Ctech,128.0,73.0,100.0,0,1.0,True,False
7184,26013148,9 pit,147.0,60.0,110.0,0,1.0,True,False
7185,17000631,39 NOR pit,132.0,56.0,95.0,0,0.0,True,False
7186,26013148,9 PRC,131.0,34.0,99.0,0,0.0,True,False
7187,26013134,5 PRC,131.0,34.0,99.0,0,0.0,True,False
7188,26013131,5 pit,147.0,60.0,110.0,0,1.0,True,False
7190,858831,40 Pit,148.0,60.0,95.0,0,0.0,True,False
7191,26013133,24 PRC,131.0,34.0,99.0,0,0.0,True,False
7192,26013149,48 PRC,131.0,34.0,99.0,0,0.0,True,False
7195,,NBC prc,52.0,52.0,50.0,0,0.0,True,False
7196,12013013,Cup Cooler,30.0,30.0,30.0,0,0.0,True,False
7197,858853,5x pit,150.0,60.0,88.0,0,0.0,True,False
7201,,NASCAR Foundation,100.0,70.0,50.0,,0.0,True,False
7202,26013167,NASCAR Foundation#2,100.0,10.0,50.0,0,0.0,True,False
7203,,CTS1 TB Stack,60.0,38.0,60.0,0,0.0,True,False
7204,,CTS2 TB Stack,60.0,48.0,60.0,0,0.0,True,False
7206,,Sonoco Box,0.0,0.0,0.0,0,0.0,True,True
7207,21047339,48 Pit,140.0,60.0,110.0,0,0.0,True,False
7208,15013185,Kat's small grill,60.0,26.0,42.0,0,0.0,True,False
7211,,,,,,,,False,True
7212,21022749,RWR Salad Cart,64.0,40.0,52.0,0,0.0,True,False
7214,22008804,77 Pit,147.0,60.0,110.0,0,1.0,True,False
7215,21022600,Pilot GC,142.0,48.0,75.0,0,0.0,True,False
7217,21022654,Monster 145 6 seat,140.0,48.0,75.0,0,0.0,True,False
7218,21022655,Monster 6 seat 146,140.0,48.0,75.0,0,0.0,True,False
7219,859360,91 Pit,126.0,52.0,80.0,0,0.0,True,False
7220,21022656,Monster 6 Seat 147,140.0,48.0,75.0,0,0.0,True,False
7223,,Monster Fridge,32.0,32.0,60.0,0,0.0,True,False
7224,,NOS Fridge,32.0,32.0,60.0,0,0.0,True,False
7226,12001220,23/45 utility,125.0,37.0,92.0,0,0.0,True,False
7229,26013143,6 Awning,0.0,0.0,0.0,0,0.0,True,True
7230,,,,,,,,False,True
7236,26013142,17 Awning,0.0,0.0,0.0,0,0.0,True,True
7238,,,,,,,,False,True
7239,21047345,35/53 NXS awning,0.0,0.0,0.0,0,0.0,True,True
7240,858948,92 Pit,126.0,53.0,80.0,0,0.0,True,False
7247,26013184,44 Nitro Cart,0.0,0.0,0.0,0,0.0,True,True
7249,19083098,Kat Cooler Cart,133.0,53.0,91.0,0,0.0,True,False
7250,26013144,60 Awning,0.0,0.0,0.0,0,0.0,True,True
7251,,,,,,,,False,True
7252,859358,9x/91c Pit,127.0,55.0,89.0,0,0.0,True,False
7255,,,,,,,,False,True
7256,,NXS Bottle Carts,0.0,0.0,0.0,0,0.0,True,True
7262,26013128,67 Pit,140.0,62.0,100.0,0,0.0,True,False
7263,21022750,71 Pit,147.0,60.0,110.0,0,1.0,True,False
7286,25002302,25 Nitro Cart,31.0,34.0,0.0,0,0.0,True,False
7287,24016053,RCR Crash,132.0,60.0,90.0,0,0.0,True,False
7288,26013158,THR grill,135.0,34.0,90.0,0,0.0,True,False
7289,22008597,1 tent,18.0,26.0,0.0,0,0.0,True,False
7290,22008596,97 tent,18.0,26.0,0.0,0,0.0,True,False
7291,858933,HMS Big Fab,141.0,43.0,90.0,0,0.0,True,False
7294,,RWR cook tent1,30.0,20.0,0.0,0,0.0,True,False
7299,22008643,KAT Prep table,72.0,36.0,48.0,0,0.0,True,False
7300,26013136,KAT Big Grill2,157.0,39.0,76.0,0,0.0,True,False
7301,22008642,Bobs cooler cart,120.0,42.0,0.0,0,0.0,True,False
7302,22008641,Bobs grill,121.0,35.0,52.0,0,0.0,True,False
7303,26013179,Media Cage,90.0,42.0,50.0,0,0.0,True,False
7307,21022752,35 Utility,135.0,34.0,78.0,0,0.0,True,False
7309,21022715,Penske 6 Seat,140.0,46.0,75.0,0,0.0,True,False
7312,26013152,60 PRC,128.0,40.0,98.0,0,0.0,True,False
7313,,,,,,,,False,True
7314,22008805,7 Pit,147.0,60.0,110.0,1,1.0,True,False
