assignment_id,race_id,race_year,race_date,trailer_id,trailer_name,trailer_view,is_awning,slot,equipment_id,is_loaded,serial_number,equipment_desc,type_id,eq_length,eq_width,eq_height,eq_weight,dancefloor_restricted,load_position,status_code,dims_found,dims_missing,race_name
86334,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,5,7034,True,21022690.0,Media Driv Wagon2,44.0,98.0,78.0,51.0,0.0,0.0,,F,True,False,Daytona - Spring
86335,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,7,7303,True,26013179.0,Media Cage,19.0,90.0,42.0,50.0,0.0,0.0,,F,True,False,Daytona - Spring
86591,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,7,7404,True,26013172.0,THR Body Cart,24.0,144.0,72.0,60.0,0.0,0.0,,P,True,False,Daytona - Spring
86942,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,8,6983,False,859272.0,11 tent,18.0,18.0,26.0,0.0,0.0,0.0,,F,True,False,Daytona - Spring
86343,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,8,7294,False,,RWR cook tent1,18.0,30.0,20.0,0.0,0.0,0.0,,F,True,False,Daytona - Spring
86344,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,10,7238,False,,,,,,,,,,,False,True,Daytona - Spring
86391,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,10,7349,True,,Champ Monster Tent,18.0,12.0,12.0,48.0,0.0,0.0,,F,True,False,Daytona - Spring
87046,422,2026,2026-02-15 19:30:00+00:00,11,T-12,Cup,False,10,7519,False,26013174.0,20 Tent 2,18.0,18.0,26.0,1.0,,0.0,,F,True,False,Daytona - Spring
86622,422,2026,2026-02-15 19:30:00+00:00,12,T-11,NOAPS,False,1,7054,True,859266.0,7 NOR pit,1.0,127.0,54.0,91.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86655,422,2026,2026-02-15 19:30:00+00:00,12,T-11,NOAPS,False,3,7180,True,915990.0,27 NOR pit,1.0,124.0,54.0,92.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86630,422,2026,2026-02-15 19:30:00+00:00,12,T-11,NOAPS,False,5,6964,True,24016056.0,02x prc,35.0,134.0,38.0,93.0,1.0,0.0,,F,True,False,Daytona - Spring
86629,422,2026,2026-02-15 19:30:00+00:00,12,T-11,NOAPS,False,6,6962,True,,02x Pit,1.0,130.0,56.0,92.0,,0.0,,F,True,False,Daytona - Spring
86615,422,2026,2026-02-15 19:30:00+00:00,12,T-11,NOAPS,False,7,7013,True,858879.0,28 NOR pit,1.0,125.0,55.0,84.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86656,422,2026,2026-02-15 19:30:00+00:00,12,T-11,NOAPS,False,8,7247,True,26013184.0,44 Nitro Cart,42.0,0.0,0.0,0.0,0.0,0.0,,F,True,True,Daytona - Spring
86657,422,2026,2026-02-15 19:30:00+00:00,12,T-11,NOAPS,False,8,7408,True,26013183.0,45 Nitro Cart,42.0,0.0,0.0,0.0,0.0,0.0,,F,True,True,Daytona - Spring
86641,422,2026,2026-02-15 19:30:00+00:00,12,T-11,NOAPS,False,9,7022,True,,ATV17 OR,41.0,89.0,50.0,50.0,0.0,0.0,,F,True,False,Daytona - Spring
87050,422,2026,2026-02-15 19:30:00+00:00,12,T-11,NOAPS,False,10,7521,True,26013182.0,5 Nitro,11.0,31.0,34.0,0.0,0.0,0.0,,P,True,False,Daytona - Spring
86604,422,2026,2026-02-15 19:30:00+00:00,13,T-08,NOAPS,False,1,7057,True,859156.0,1 NOR Pit,1.0,127.0,57.0,97.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86634,422,2026,2026-02-15 19:30:00+00:00,13,T-08,NOAPS,False,3,7055,True,18083043.0,88 NOR pit,1.0,126.0,53.0,89.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86659,422,2026,2026-02-15 19:30:00+00:00,13,T-08,NOAPS,False,4,7300,True,26013136.0,KAT Big Grill2,3.0,157.0,39.0,76.0,0.0,0.0,,F,True,False,Daytona - Spring
86597,422,2026,2026-02-15 19:30:00+00:00,13,T-08,NOAPS,False,5,7185,True,17000631.0,39 NOR pit,1.0,132.0,56.0,95.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86608,422,2026,2026-02-15 19:30:00+00:00,13,T-08,NOAPS,False,6,7301,True,22008642.0,Bobs cooler cart,14.0,120.0,42.0,0.0,0.0,0.0,,P,True,False,Daytona - Spring
86616,422,2026,2026-02-15 19:30:00+00:00,13,T-08,NOAPS,False,7,7169,True,,NXS TB Stack,40.0,64.0,38.0,60.0,,0.0,,F,True,False,Daytona - Spring
86606,422,2026,2026-02-15 19:30:00+00:00,13,T-08,NOAPS,False,8,7219,True,859360.0,91 Pit,1.0,126.0,52.0,80.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86572,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,1,7039,True,915535.0,22 pit,1.0,138.0,63.0,100.0,0.0,0.0,,F,True,False,Daytona - Spring
86573,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,2,7038,True,22008651.0,22 PRC,35.0,125.0,35.0,91.0,0.0,0.0,,F,True,False,Daytona - Spring
86575,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,3,7312,True,26013152.0,60 PRC,35.0,128.0,40.0,98.0,0.0,0.0,,F,True,False,Daytona - Spring
86574,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,4,7021,True,26013153.0,60 pit,1.0,143.0,62.0,100.0,0.0,0.0,,F,True,False,Daytona - Spring
86701,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,5,7156,True,26013155.0,6 PRC,35.0,134.0,35.0,90.0,0.0,0.0,,F,True,False,Daytona - Spring
86700,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,6,7155,True,22008783.0,6 pit,1.0,130.0,52.0,80.0,0.0,0.0,,F,True,False,Daytona - Spring
86592,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,7,6966,False,,,,,,,,,,,False,True,Daytona - Spring
86699,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,7,7503,True,26013124.0,7 PRC,35.0,119.0,38.0,91.0,,0.0,,F,True,False,Daytona - Spring
86593,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,8,7414,False,,,,,,,,,,,False,True,Daytona - Spring
86702,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,8,7504,True,26013125.0,71 PRC,35.0,127.0,35.0,90.0,,0.0,,F,True,False,Daytona - Spring
86663,422,2026,2026-02-15 19:30:00+00:00,15,T-21,Cup,False,9,7363,True,,TB Stack 3,40.0,63.0,35.0,68.0,0.0,0.0,,F,True,False,Daytona - Spring
86447,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,1,7350,True,26013164.0,HMS TV Box,15.0,40.0,36.0,20.0,0.0,0.0,,F,True,False,Daytona - Spring
86444,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,1,7419,True,26013165.0,Monster TV,15.0,62.0,30.0,44.0,0.0,0.0,,F,True,False,Daytona - Spring
86553,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,2,7338,True,21022695.0,Spire Hosp,8.0,125.0,42.0,70.0,0.0,0.0,,F,True,False,Daytona - Spring
86688,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,3,7226,True,12001220.0,23/45 utility,8.0,125.0,37.0,92.0,0.0,0.0,,F,True,False,Daytona - Spring
86445,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,4,7287,True,24016053.0,RCR Crash,4.0,132.0,60.0,90.0,0.0,0.0,,F,True,False,Daytona - Spring
86554,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,5,7072,True,21022661.0,THR Hosp Panel,8.0,89.0,55.0,77.0,0.0,0.0,,F,True,False,Daytona - Spring
86557,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,6,7097,True,21022760.0,HMS Antenna box,44.0,62.0,29.0,42.0,0.0,0.0,,F,True,False,Daytona - Spring
86558,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,6,7390,True,26013146.0,HMS DVP box,44.0,75.0,38.0,75.0,0.0,0.0,,F,True,False,Daytona - Spring
86446,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,7,7415,True,,Monster Pit,1.0,130.0,55.0,95.0,,0.0,Left,F,True,False,Daytona - Spring
86550,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,8,7161,True,915353.0,5 utility,8.0,124.0,40.0,100.0,0.0,0.0,,F,True,False,Daytona - Spring
86555,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,9,7069,True,12001151.0,Wheel Cooler,25.0,30.0,30.0,30.0,0.0,0.0,,F,True,False,Daytona - Spring
86556,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,9,7196,True,12013013.0,Cup Cooler,25.0,30.0,30.0,30.0,0.0,0.0,,F,True,False,Daytona - Spring
86441,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,10,7073,True,12001154.0,1 tv box,15.0,60.0,20.0,43.0,0.0,0.0,,F,True,False,Daytona - Spring
86443,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,10,7077,True,26013163.0,97 tv box,15.0,60.0,15.0,43.0,0.0,0.0,,F,True,False,Daytona - Spring
86442,422,2026,2026-02-15 19:30:00+00:00,16,T-09,Cup,False,10,7317,True,26013162.0,88 tv box,15.0,62.0,21.0,44.0,0.0,0.0,,F,True,False,Daytona - Spring
86363,422,2026,2026-02-15 19:30:00+00:00,17,T-32,Cup,False,1,7000,True,12013011.0,Awning cart Big,39.0,143.0,52.0,105.0,0.0,0.0,,F,True,False,Daytona - Spring
86364,422,2026,2026-02-15 19:30:00+00:00,17,T-32,Cup,False,2,7291,True,858933.0,HMS Big Fab,20.0,141.0,43.0,90.0,0.0,0.0,,F,True,False,Daytona - Spring
86365,422,2026,2026-02-15 19:30:00+00:00,17,T-32,Cup,False,3,7088,True,26013193.0,47 Pit,1.0,138.0,85.0,94.0,0.0,1.0,,F,True,False,Daytona - Spring
86368,422,2026,2026-02-15 19:30:00+00:00,17,T-32,Cup,False,5,7186,True,26013148.0,9 PRC,35.0,131.0,34.0,99.0,0.0,0.0,,F,True,False,Daytona - Spring
86367,422,2026,2026-02-15 19:30:00+00:00,17,T-32,Cup,False,6,7184,True,26013148.0,9 pit,1.0,147.0,60.0,110.0,0.0,1.0,,F,True,False,Daytona - Spring
86667,422,2026,2026-02-15 19:30:00+00:00,17,T-32,Cup,False,8,7215,True,21022600.0,Pilot GC,13.0,142.0,48.0,75.0,0.0,0.0,,F,True,False,Daytona - Spring
86595,422,2026,2026-02-15 19:30:00+00:00,17,T-32,Cup,False,9,7336,True,,Kobalt Tool,25.0,18.0,24.0,36.0,0.0,0.0,,F,True,False,Daytona - Spring
86560,422,2026,2026-02-15 19:30:00+00:00,18,T-23,Cup,False,1,7405,True,,66NCS Pit,1.0,130.0,55.0,92.0,0.0,0.0,Left,P,True,False,Daytona - Spring
86961,422,2026,2026-02-15 19:30:00+00:00,18,T-23,Cup,False,2,7016,True,12001100.0,84 Awning,9.0,0.0,0.0,0.0,0.0,0.0,,P,True,True,Daytona - Spring
86698,422,2026,2026-02-15 19:30:00+00:00,18,T-23,Cup,False,2,7396,True,,67 Awning,9.0,0.0,0.0,0.0,0.0,0.0,,P,True,True,Daytona - Spring
86697,422,2026,2026-02-15 19:30:00+00:00,18,T-23,Cup,False,3,7395,True,21022620.0,67 PRC,35.0,140.0,34.0,100.0,0.0,0.0,,P,True,False,Daytona - Spring
86696,422,2026,2026-02-15 19:30:00+00:00,18,T-23,Cup,False,4,7262,True,26013128.0,67 Pit,1.0,140.0,62.0,100.0,0.0,0.0,,P,True,False,Daytona - Spring
86582,422,2026,2026-02-15 19:30:00+00:00,18,T-23,Cup,False,5,7490,True,19083031.0,40 PRC,35.0,1.0,1.0,1.0,1.0,0.0,,P,True,False,Daytona - Spring
86962,422,2026,2026-02-15 19:30:00+00:00,18,T-23,Cup,False,6,7018,True,22008787.0,84 Pit,1.0,132.0,64.0,100.0,0.0,0.0,,P,True,False,Daytona - Spring
86571,422,2026,2026-02-15 19:30:00+00:00,18,T-23,Cup,False,7,7190,True,858831.0,40 Pit,1.0,148.0,60.0,95.0,0.0,0.0,,P,True,False,Daytona - Spring
86963,422,2026,2026-02-15 19:30:00+00:00,18,T-23,Cup,False,8,7505,True,12013031.0,84 PRC,35.0,131.0,36.0,89.0,0.0,0.0,,P,True,False,Daytona - Spring
86614,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,1,7197,True,858853.0,5x pit,1.0,150.0,60.0,88.0,0.0,0.0,Left,P,True,False,Daytona - Spring
86623,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,1,7410,False,,,,,,,,,,,False,True,Daytona - Spring
86633,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,2,7002,True,12013010.0,NXS Awning cart,39.0,142.0,40.0,105.0,0.0,0.0,,F,True,False,Daytona - Spring
86635,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,3,7091,True,12001164.0,31 NOR Pit,1.0,138.0,58.0,94.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86612,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,4,7412,True,25024194.0,87X PRC,35.0,120.0,36.0,84.0,1.0,0.0,,F,True,False,Daytona - Spring
86625,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,5,6963,True,24016057.0,42x prc,35.0,134.0,38.0,93.0,1.0,0.0,,F,True,False,Daytona - Spring
86626,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,6,7359,True,22008807.0,42x pit,1.0,130.0,56.0,92.0,0.0,0.0,,F,True,False,Daytona - Spring
86652,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,7,7400,True,,Kat Med NXS Grill4,3.0,72.0,37.0,48.0,0.0,0.0,,F,True,False,Daytona - Spring
86632,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,8,7240,True,858948.0,92 Pit,1.0,126.0,53.0,80.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86643,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,9,7251,False,,,,,,,,,,,False,True,Daytona - Spring
86647,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,10,7286,True,25002302.0,25 Nitro Cart,11.0,31.0,34.0,0.0,0.0,0.0,,P,True,False,Daytona - Spring
86672,422,2026,2026-02-15 19:30:00+00:00,19,T-29,NOAPS,False,10,7425,True,,2 Nitro,42.0,0.0,0.0,0.0,0.0,0.0,,F,True,True,Daytona - Spring
86325,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,1,7071,True,21022635.0,1 pit,1.0,138.0,58.0,90.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86328,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,2,7153,True,26013156.0,17 PRC,35.0,135.0,35.0,90.0,0.0,0.0,,F,True,False,Daytona - Spring
86497,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,3,6399,False,15083020.0,Kat’s Big Grill,3.0,157.0,39.0,76.0,0.0,0.0,,F,True,False,Daytona - Spring
86496,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,3,6399,False,15083020.0,Kat’s Big Grill,3.0,157.0,39.0,76.0,0.0,0.0,,F,True,False,Daytona - Spring
86326,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,3,7074,True,26013159.0,1 PRC,35.0,126.0,34.0,97.0,0.0,0.0,,F,True,False,Daytona - Spring
86500,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,4,6700,False,21022753.0,KAT Big Grill2,3.0,157.0,39.0,76.0,0.0,0.0,,F,True,False,Daytona - Spring
86501,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,4,6700,False,21022753.0,KAT Big Grill2,3.0,157.0,39.0,76.0,0.0,0.0,,F,True,False,Daytona - Spring
86327,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,4,7318,True,12001221.0,17 pit,1.0,142.0,60.0,90.0,0.0,0.0,,F,True,False,Daytona - Spring
86329,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,5,7120,True,,Nitrogen Carts,43.0,80.0,45.0,50.0,0.0,0.0,,F,True,False,Daytona - Spring
86494,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,7,6515,False,,Nitrogen Carts,43.0,80.0,45.0,50.0,0.0,0.0,,F,True,False,Daytona - Spring
86495,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,7,6515,False,,Nitrogen Carts,43.0,80.0,45.0,50.0,0.0,0.0,,F,True,False,Daytona - Spring
86330,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,7,7121,True,,Nitrogen Carts#2,43.0,80.0,45.0,50.0,0.0,0.0,,F,True,False,Daytona - Spring
87041,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,9,7006,True,,ATV 13,41.0,87.0,46.0,48.0,0.0,0.0,,F,True,False,Daytona - Spring
87039,422,2026,2026-02-15 19:30:00+00:00,21,T-31,Cup,False,10,7124,True,,Champ bottle carts,36.0,0.0,0.0,0.0,,0.0,,F,True,True,Daytona - Spring
86618,422,2026,2026-02-15 19:30:00+00:00,22,T-28,NOAPS,False,1,7388,True,,35/53X pit,1.0,107.0,40.0,78.0,0.0,0.0,,F,True,False,Daytona - Spring
86620,422,2026,2026-02-15 19:30:00+00:00,22,T-28,NOAPS,False,2,7053,True,859470.0,25x Pit,1.0,0.0,0.0,0.0,0.0,0.0,Left,P,True,True,Daytona - Spring
86621,422,2026,2026-02-15 19:30:00+00:00,22,T-28,NOAPS,False,3,7330,True,,32 NOR Pit,1.0,138.0,58.0,95.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86648,422,2026,2026-02-15 19:30:00+00:00,22,T-28,NOAPS,False,4,7371,True,25098356.0,17 Awning,9.0,0.0,0.0,0.0,0.0,0.0,,F,True,True,Daytona - Spring
86628,422,2026,2026-02-15 19:30:00+00:00,22,T-28,NOAPS,False,5,7361,True,21022719.0,17x PRC,35.0,130.0,32.0,92.0,0.0,0.0,,F,True,False,Daytona - Spring
86627,422,2026,2026-02-15 19:30:00+00:00,22,T-28,NOAPS,False,6,7327,True,21022718.0,17x Pit,1.0,128.0,59.0,90.0,0.0,0.0,,F,True,False,Daytona - Spring
86636,422,2026,2026-02-15 19:30:00+00:00,22,T-28,NOAPS,False,7,7065,True,858871.0,8 NOR Pit,1.0,127.0,54.0,89.0,0.0,0.0,Left,F,True,False,Daytona - Spring
86617,422,2026,2026-02-15 19:30:00+00:00,22,T-28,NOAPS,False,10,7172,True,,NXS TB Stack2,40.0,64.0,36.0,60.0,,0.0,,F,True,False,Daytona - Spring
